2021/01/23	12:55:07.142

Temps (ms)	Expediteur			Message
22613		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22639		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22639		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22679		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22680		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22685		C3PO		PosReport C3PO_ghost 2083.757568359375 1460.7777099609375 3.2161436080932617
22749		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22749		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22759		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22759		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22786		C3PO		PosReport C3PO_ghost 2053.359375 1458.5072021484375 3.2161436080932617
22816		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22816		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22840		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22840		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22881		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22881		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22888		C3PO		PosReport C3PO_ghost 2022.9288330078125 1456.234375 3.2161436080932617
22951		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22951		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22961		Interface		SpeedCmd C3PO_ghost 0 0 0.0
22961		Interface		SpeedCmd C3PO_ghost 1 0 0.0
22989		C3PO		PosReport C3PO_ghost 2007.7210693359375 1455.0985107421875 3.2161436080932617
23024		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23024		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23042		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23042		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23082		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23082		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23091		C3PO		PosReport C3PO_ghost 1977.3206787109375 1452.827880859375 3.2161436080932617
23127		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23127		Interface		SpeedCmd C3PO_ghost 1 0 0.0
